Date(UTC);Pair;Base Asset;Quote Asset;Type;Price;Amount;Total;Fee;Fee Coin
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20726;354;73.37004;0.06970154;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20727;500;103.635;0.09845325;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20726;4356;902.82456;0.85768333;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20726;8;1.65808;0.00157518;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20726;8;1.65808;0.00157518;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20729;500;103.645;0.09846275;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.2073;8;1.6584;0.00157548;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20726;500;103.63;0.0984485;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20728;500;103.64;0.098458;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20728;8;1.65824;0.00157533;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20725;2562;530.9745;0.50442578;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20731;500;103.655;0.09847225;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20733;354;73.39482;0.06972508;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.2073;354;73.3842;0.06971499;EUR
2025-07-20 00:02:46;DOGE/EUR;DOGE;EUR;SELL;0.20732;550;114.026;0.1083247;EUR
2025-07-20 00:02:35;DOGE/EUR;DOGE;EUR;BUY;0.20742;486;100.80612;0.4617;DOGE
2025-07-20 00:02:35;DOGE/EUR;DOGE;EUR;BUY;0.20748;1930;400.4364;1.8335;DOGE
2025-07-20 00:02:35;DOGE/EUR;DOGE;EUR;BUY;0.20747;8;1.65976;0.0076;DOGE
2025-07-20 00:02:35;DOGE/EUR;DOGE;EUR;BUY;0.20743;2073;430.00239;1.96935;DOGE
2025-07-20 00:02:35;DOGE/EUR;DOGE;EUR;BUY;0.20745;354;73.4373;0.3363;DOGE
2025-07-20 00:02:35;DOGE/EUR;DOGE;EUR;BUY;0.20747;5619;1165.77393;5.33805;DOGE
2025-07-20 00:02:35;DOGE/EUR;DOGE;EUR;BUY;0.20745;8;1.6596;0.0076;DOGE
2025-07-20 00:02:35;DOGE/EUR;DOGE;EUR;BUY;0.20745;246;51.0327;0.2337;DOGE
2025-07-20 00:02:35;DOGE/EUR;DOGE;EUR;BUY;0.20742;354;73.42668;0.3363;DOGE
2025-07-19 23:30:52;XRP/EUR;XRP;EUR;SELL;2.9447;109.6;322.73912;0.30660216;EUR
2025-07-19 23:30:52;XRP/EUR;XRP;EUR;SELL;2.9447;671.3;1976.77711;1.87793825;EUR
2025-07-19 23:30:37;ETH/EUR;ETH;EUR;SELL;3081.05;0.2868;883.64514;0.83946288;EUR
2025-07-19 23:30:37;ETH/EUR;ETH;EUR;SELL;3081.05;0.4579;1410.812795;1.34027216;EUR
2025-07-19 23:30:25;XRP/EUR;XRP;EUR;BUY;2.9434;484.2;1425.19428;0.45999;XRP
2025-07-19 23:30:25;XRP/EUR;XRP;EUR;BUY;2.9434;296.7;873.30678;0.281865;XRP
2025-07-19 23:30:01;ETH/EUR;ETH;EUR;BUY;3080.72;0.2331;718.115832;0.00022145;ETH
2025-07-19 23:30:01;ETH/EUR;ETH;EUR;BUY;3080.53;0.513;1580.31189;0.00048735;ETH
2025-07-19 23:22:08;XRP/EUR;XRP;EUR;SELL;2.9433;779.8;2295.18534;2.18042607;EUR
2025-07-19 23:21:57;XRP/EUR;XRP;EUR;BUY;2.9433;109.6;322.58568;0.10412;XRP
2025-07-19 23:21:57;XRP/EUR;XRP;EUR;BUY;2.9433;671.7;1977.01461;0.638115;XRP
2025-07-19 23:17:12;ETH/EUR;ETH;EUR;SELL;3080.56;0.2;616.112;0.5853064;EUR
2025-07-19 23:17:12;ETH/EUR;ETH;EUR;SELL;3080.43;0.1202;370.267686;0.3517543;EUR
2025-07-19 23:17:12;ETH/EUR;ETH;EUR;SELL;3080.56;0.2868;883.504608;0.83932938;EUR
2025-07-19 23:17:12;ETH/EUR;ETH;EUR;SELL;3080.56;0.1396;430.046176;0.40854387;EUR
2025-07-19 23:17:00;ETH/EUR;ETH;EUR;BUY;3080.57;0.2868;883.507476;0.00027246;ETH
2025-07-19 23:17:00;ETH/EUR;ETH;EUR;BUY;3080.81;0.1841;567.177121;0.0001749;ETH
2025-07-19 23:17:00;ETH/EUR;ETH;EUR;BUY;3080.72;0.1396;430.068512;0.00013262;ETH
2025-07-19 23:17:00;ETH/EUR;ETH;EUR;BUY;3080.82;0.0634;195.323988;0.00006023;ETH
2025-07-19 23:17:00;ETH/EUR;ETH;EUR;BUY;3080.7;0.002;6.1614;0.0000019;ETH
2025-07-19 23:17:00;ETH/EUR;ETH;EUR;BUY;3080.8;0.0707;217.81256;0.00006717;ETH
2025-07-19 23:15:45;ETH/EUR;ETH;EUR;SELL;3079.79;0.3;923.937;0.87774015;EUR
2025-07-19 23:15:45;ETH/EUR;ETH;EUR;SELL;3079.79;0.2868;883.283772;0.83911958;EUR
2025-07-19 23:15:45;ETH/EUR;ETH;EUR;SELL;3079.79;0.1589;489.378631;0.4649097;EUR
2025-07-19 23:15:34;ETH/EUR;ETH;EUR;BUY;3079.27;0.2868;883.134636;0.00027246;ETH
2025-07-19 23:15:34;ETH/EUR;ETH;EUR;BUY;3079.27;0.2364;727.939428;0.00022458;ETH
2025-07-19 23:15:34;ETH/EUR;ETH;EUR;BUY;3079.27;0.2239;689.448553;0.00021271;ETH
2025-07-19 23:13:27;ETH/EUR;ETH;EUR;SELL;3079.8;0.3974;1223.91252;1.16271689;EUR
2025-07-19 23:13:27;ETH/EUR;ETH;EUR;SELL;3079.8;0.002;6.1596;0.00585162;EUR
2025-07-19 23:13:27;ETH/EUR;ETH;EUR;SELL;3080.16;0.002;6.16032;0.0058523;EUR
2025-07-19 23:13:27;ETH/EUR;ETH;EUR;SELL;3079.81;0.1707;525.723567;0.49943739;EUR
2025-07-19 23:13:27;ETH/EUR;ETH;EUR;SELL;3079.82;0.0353;108.717646;0.10328176;EUR
