direction,exit_price,spread_percent,size,pair,stop_loss,take_profit,exit_reason,fees,volume_24h,entry_price,timestamp,trade_id,pnl_gross,duration_seconds,capital_before,capital_after,signals,pnl_net,volatility,action,session_trading,id,real_pnl
LONG,3.5674,,800.8,XRPUSDC,0.0,0.0,SUREXPOSITION_AUTO,,,3.572,2025-07-21 10:51:16.179108,XRPUSDC_1968172552_1753087818,,46.033455,0.0,0.0,,,,,,PWNRVAGDCbUrIaWqiM4g,0.0
LONG,4.0148,,713.4,SUIUSDC,0.0,0.0,SUREXPOSITION_AUTO,,,4.0089,2025-07-21 10:51:32.529658,SUIUSDC_1789931000_1753087849,,31.385973,0.0,0.0,,,,,,qUyZSyDRulIkQK46rE04,0.0
LONG,,,15.034,SOLUSDC,189.70455,192.46216,,,2859,190.18,2025-07-21 10:52:35.190660,SOLUSDC_2218719919_1753087955,,,22874.03570775775,22871.46770530745,"{'direction': 'LONG', 'position_size': 2859.254861526894, 'anti_fragmentation': True}",,5.415508784888466,OPEN,ASIE,Xm5hUZoXEPDh7pV7nYVo,-2.5680024503017194
LONG,,,715.4,SUIUSDC,3.98591025,4.0438507999999995,,,2859,3.9959,2025-07-21 10:53:02.891913,SUIUSDC_1789943322_1753087982,,,22868.144592303048,22865.1068744328,"{'direction': 'LONG', 'position_size': 2858.6500388792247, 'anti_fragmentation': True}",,3.0007533536900626,OPEN,ASIE,JKLoe7mQ6EnkDidYkrCu,-3.037717870247434
LONG,189.77,,15.034,SOLUSDC,0.0,0.0,SUREXPOSITION_AUTO,,,190.18,2025-07-21 10:53:30.418436,SOLUSDC_2218719919_1753087955,,43.756629,0.0,0.0,,,,,,ynogW2CqYJztBUnItM2K,0.0
LONG,3.9978,,715.4,SUIUSDC,0.0,0.0,SUREXPOSITION_AUTO,,,3.9959,2025-07-21 10:53:49.730931,SUIUSDC_1789943322_1753087982,,34.040861,0.0,0.0,,,,,,WNQesNxD9GsPI4S3TRg5,0.0
LONG,,,802.7,XRPUSDC,3.5511000000000004,3.60272,,,2858,3.56,2025-07-21 10:55:53.389238,XRPUSDC_1968202794_1753088153,,,22861.920739698253,22857.91717000095,"{'direction': 'LONG', 'position_size': 2857.7400561677377, 'anti_fragmentation': True}",,3.287436480262766,OPEN,ASIE,VExUhkz33IRPxFZfuWAs,-4.003569697302737
LONG,3.5578,,802.7,XRPUSDC,0.0,0.0,SUREXPOSITION_AUTO,,,3.56,2025-07-21 10:56:21.091465,XRPUSDC_1968202794_1753088153,,16.376543,0.0,0.0,,,,,,Dk7v34SKtbriCrbjIiBL,0.0
LONG,,,14.993,SOLUSDC,190.07362500000002,192.8366,,,2857,190.55,2025-07-21 10:58:47.918795,SOLUSDC_2218752269_1753088327,,,22854.8359944588,22852.272351159307,"{'direction': 'LONG', 'position_size': 2856.854537120399, 'anti_fragmentation': True}",,5.593032576487645,OPEN,ASIE,vMW97XSmccv5pcW2aTre,-2.563643299494288
LONG,,,801.9,XRPUSDC,3.55459125,3.606262,,,2858,3.5635,2025-07-21 11:01:25.690280,XRPUSDC_1968222830_1753088485,,,22859.336718494753,22857.22344168895,"{'direction': 'LONG', 'position_size': 2857.4171246688124, 'anti_fragmentation': True}",,3.283060576888794,OPEN,EUROPE,q5suma53wvdDQXw7gfw0,-2.1132768058014335
LONG,,,3193.1,ADAUSDC,0.8923635,0.9053352,,,2857,0.8946,2025-07-21 11:03:14.272671,ADAUSDC_1062567685_1753088594,,,22851.52313536205,22848.655802178197,"{'direction': 'LONG', 'position_size': 2856.509298312625, 'anti_fragmentation': True}",,4.762813418310877,OPEN,EUROPE,fHpq9gaM0B0aJF40VjzV,-2.867333183854498
LONG,0.8932,,3193.1,ADAUSDC,0.0,0.0,MOMENTUM_FAIBLE,,,0.8946,2025-07-21 11:04:49.727805,ADAUSDC_1062567685_1753088594,,83.550026,0.0,0.0,,,,,,WwEQJuItgJQqIMU33Hmj,0.0
LONG,,,3194.7,ADAUSDC,0.8916652500000001,0.9046268000000001,,,2856,0.8939,2025-07-21 11:06:16.252976,ADAUSDC_1062576128_1753088776,,,22846.64936127625,22845.12902610925,"{'direction': 'LONG', 'position_size': 2855.783766155256, 'anti_fragmentation': True}",,4.683072049464226,OPEN,EUROPE,p4AQzjSwwiHxa0LyJUNN,-1.5203351669988479
